nom,lat,lng,nbTweets,nbRetweets,tweets
Ablon,48.7255353048612,2.4195650243879334,5,1,1545997721689112577|1545815738161700867|1044289032103096324|1044285668212572167|1044285313969991681
Épinay-sur-Orge,48.66948372520816,2.3326229292104723,6,1,933614840622575617|1006098966986010624|1006093657496276992|1006089292442202112|940211826469621764|372283581340860416
Chaville-Vélizy,48.79972882534397,2.183684109854236,10,5,1485520735619764227|1178709905685057537|1142096622308024321|1128705478526218244|1128697457179799554|930747772709625856|522445323462258689|1232927343393624064|877874885069897729|1757682110876270827
Choisy-le-Roi,48.76378680955172,2.411386724936104,83,201,1801194299557876046|1801163037602202030|1801006988492456386|1800985395213091180|1800969087675199680|1800967573044932968|1800963388454883800|1800962289564008685|1800961299486069200|1800941407206601041|1800939804122829085|1800939772216856883|1800939738796339670|1800939706252918802|1800936981888676267|1800935746712502274|1800934327636640088|1800933594015093153|1800932980573065230|1800932555404751069|1800932514267045937|1327190368690057222|1179628247669264386|1179628222511812608|963292305779298304|933682830512713728|933680476564443136|930527906673111046|1022900718783619072|1510009879481794562|1399410262311047168|1399410034019377158|1275380056408371200|1025800513177178113|1025787702686507014|1024003386000257025|1006426552781934592|1006426427590356992|1006425523587870720|951148238568075264|951148049916678144|951126849651953665|950990472305979392|950989427534426113|950981225853980672|930833314885308422|930828947385995264|492308020123418625|83943286204661760|83679453540122624|83667149176053760|83581786818490369|1406655137091817481|1406654909794111489|1406368749750558720|1406366303443734529|1406365838618284034|1406297767547387908|1677081435222552576|1406303123111563267|1406288646198730760|1199664477941223426|1022907548230406144|933777819443908608|524593045229281280|1183310076276281344|1183294975880118272|1183290025573834752|1183289783088492544|1183288843514122240|1183288514890338304|842290516351950848|842287895708758017|842287895503372289|842287659938537472|842286747589451777|842286731743354881|1565350480947322881|1565347015915360257|1565339121484120065|1565337815130701832|1565332061908770817|1488463554395181059
Juvisy,48.689764622382576,2.3828460994526055,98,68,1800936981888676267|1800934327636640088|1721797684330119498|1695115735238942895|1327190368690057222|1321697091610136576|1321696818212839425|1085203858421399553|1052194160168431621|980755721586397184|934059320492294145|933616591299899394|933615547627032576|933613391087853568|933611005292183553|933606626870939648|931062913418358784|930859325383495680|930527906673111046|930050087681773569|921238756883161088|921036629564944384|737699913027493889|1405858633448046594|1734490502198661137|1662426944225329154|1662125648955994113|1587145484820529152|1509947434629218306|1509916313514393610|1386929724212011009|1286167792866201602|1286165112932507655|1280418757492572160|1225083986487234560|1158043652377260033|1155943646450970624|1059796086699778048|1059692050495537154|1059691940894130177|1024635251568590849|1024599661921927168|1024003386000257025|1022836768121479170|930708663043489792|571277535872458752|492549402763210752|491966066646851586|491893558660853760|491887659300966400|491873598660153344|491824882620301312|491818226129858560|400147577490128896|83589332467843073|1681383380242276352|1676935042201710592|1406655137091817481|1406654909794111489|1406368749750558720|1406366303443734529|1406365838618284034|1676917584992563200|1676522312013606914|1548053133527355396|1548053091311792134|1294912803841675264|1294878679886069762|1294863717772001281|1043016706677825538|1006091057916936192|1006089447102976001|1006089292442202112|459583039111450624|372283581340860416|1757679667622941162|1545852119818854400|1545849957608988675|1545815738161700867|1545810652102541314|1471523685848780809|1297757782842789888|1183310076276281344|1183294975880118272|1183290025573834752|1183289783088492544|1183288843514122240|1183288514890338304|1109737956737277952|935411100077707264|899676670101270530|899676517231472640|527868826734837760|1602016247356481536|1565337815130701832|1565332061908770817|1044285668212572167|1044285313969991681
Meudon-Val-Fleury,48.80749262578013,2.2408830693356476,48,43,1800959157085822997|1447869973574082562|1395421254765666305|1143599483831427078|1143596514981416960|930779291301838854|930714321436446720|930711649660624896|930711215705378816|930709736227471360|930705386428096512|930702896206958592|1142121657059987461|1142113778613608450|1059720576409972736|930833314885308422|930832649916239872|930829410718158848|930828947385995264|930791796824838144|930768557205487617|930762180722651139|930747772709625856|930739755922403328|930739316724240385|930722703237173248|930716777725792256|930716306403414016|930713674423074816|930711986308075521|930710303234514944|930710253133541376|930708663043489792|930707794369699840|930706357006761984|930703083176374274|930701393459138560|930701384890175489|90315421584076800|1226780636129742848|1226768099950649344|1226749453438259200|1226747081588690944|1226744743650045953|1226739018035015680|1226734580662775810|1226733800404680704|877874885069897729
Lardy,48.52040359106998,2.254739702427517,16,7,519068379014234114|1352322491356737538|1190240952209887232|969236112798568448|969234619408310273|969220976008466432|885381417227649024|885377294344347648|734411631799730176|1549285207164977152|1549102243449712640|1549096938498183168|1549090659650371585|1549090186784653317|1549086929001451520|1549102930183462912
Les Saules,48.74507216689389,2.4175209778964915,1,0,524623637635420161
Savigny-sur-Orge,48.676446656997726,2.3524814010489976,20,8,50603015052328960|50591688963526656|933781144356704256|931062669968396288|930066893616054272|661960933724594177|1405858633448046594|1510009879481794562|1509932867719151625|454486282966937600|940211826469621764|696999757349265408|696999745471037440|696999670774702080|696982382084284416|696982367865585664|696976558095990784|696976514617839616|1565337815130701832|1309032130253656064
Musée d'Orsay,48.860351434026214,2.3267597744418103,27,100,1800969369855647939|1267153328896704518|1224958099485872130|1224947668486672385|1224947540224872449|274132636027473921|1750827447749083577|1280418757492572160|1227231407589732352|1225083986487234560|1224957026880630784|400250207495262208|400201349587304448|400172218984202240|400169415586873344|400162895960735744|400160742428921856|400142741486981120|400136158367481856|400134241813819392|400131581635231744|1676615902492610563|1549285575857000448|1549102243449712640|1545852119818854400|1545815738161700867|1545810652102541314
Gravigny-Balizy,48.68571362596709,2.317626404411973,0,0,
Athis-Mons,48.71262898747626,2.4036331049084922,7,1,1024658479158575104|1024640785029980160|1024635251568590849|1024625947910262784|1024599661921927168|1545997721689112577|617692981504704512
Gennevilliers,48.932896166448664,2.307943234074898,4,2,606848737139425280|390531093403013121|1135986089662046208|825036413544574978
Franconville-Le Plessis-Bouchard,48.99371348038584,2.2342763939965375,3,0,189439544771358720|1137088119004643333|1137028262952099843
Pont de l'Alma,48.86266245169435,2.300989969386769,3,2,1800954807814893996|1175025003928129537|1296551965552517122
Porchefontaine,48.79652818117568,2.152378660253372,2,0,1022813599616692224|742791528347774976
Sermaise,48.5358065092437,2.0693815248874716,8,8,506475652812247040|667323200821403648|746010146564939776|667374379282640896|667349862833369089|667318171343396864|595560935655354368|595534927027896320
Rungis-La Fraternelle,48.74019544820277,2.351633198171911,16,30,1230067005945982976|1050074630118154241|1022900718783619072|1022900464357130242|1546449171569430529|1025800513177178113|1025787702686507014|1677182363741171712|1749301552517427452|1228024472462118913|1022907548230406144|1006091057916936192|1006089447102976001|1006089292442202112|908295295217356800|1757759314243064218
Sainte-Geneviève-des-Bois,48.65281140144265,2.312736251060263,12,22,933617559626272773|1154428715444690948|1670672555848392705|1294912803841675264|1294878679886069762|1294863717772001281|1006091057916936192|1006089447102976001|1006089292442202112|372705472765104128|372283581340860416|1579798778063659011
Saint-Martin-d'Étampes,48.42736258418355,2.1452465929031157,26,4,1800932555404751069|940822886234951681|795514912336474112|795514689757257728|1286153082829766656|1158043652377260033|962930772092030976|1676917584992563200|1294912803841675264|1294878679886069762|1294863717772001281|1190250997664407553|1190246545607790592|1190225666593247237|969236112798568448|1549285575857000448|1549102243449712640|1549090659650371585|1549086929001451520|1545852119818854400|1183310076276281344|1183294975880118272|1183290025573834752|1183289783088492544|1183288843514122240|1183288514890338304
Villeneuve-le-Roi,48.73983069943655,2.4263998204748227,16,0,1800936981888676267|1759177160076521944|930089257863208961|930050087681773569|1059725756346089472|930709075700088832|527829723049910272|1676464597597921280|1676460880337182721|1471523685848780809|753590242830090240|1565638355538571264|1565385838745223169|1565385784017960965|1565344433045794817|1488463554395181059
