titre,url,url_original,duration,contenu,timecode-depart,video,type,caché
Introduction,https://soundcloud.com/marieboishus/0-introduction-3?si=10b06990d14b41f6b5c6ed5643ab44dd&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://soundcloud.com/marieboishus/0-introduction/s-gKdiLdeCwcL?si=156b23e547ea4997a296e6f4d5ae75d9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,2:08,,0:15,Athis Mons,capsule,
Ligue de Protection des Oiseaux LPO,https://soundcloud.com/marieboishus/1-lpo-3?si=8b6e0f6b4aac4ec999297fef63bd408b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://soundcloud.com/marieboishus/1-lpo/s-IJ3bOTAzdOr?si=d426229cc75e4ba8811656c6f01f2b66&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,1:20,,3:18,Athis Mons,capsule,
"À quelles conditions, les abords de voies ferrées seraient-ils adaptés aux oiseaux ?",https://soundcloud.com/marieboishus/2-a-quelles-conditions-3?si=aac1e0a2f3364cfc9610069b05321d29&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://soundcloud.com/marieboishus/2-a-quelles-conditions/s-MoB1aK8LkOz?si=b1fcecbf149644acb70a162e6a22fecc&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,1:21,,9:45,Athis Mons,capsule,
Hirondelles de fenêtre et attention constante,https://soundcloud.com/marieboishus/3-hirondelles-3?si=ba3c12ccaf034008987e14af5b6ff6ea&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://soundcloud.com/marieboishus/3-hirondelles/s-AhGfxCYBZUn?si=1313ac8d8f464ced9a4bd92308193d09&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,2:59,,30:30,Athis Mons,capsule,
Appareils diplomatiques et jeune Bergeronnette des ruisseaux,https://soundcloud.com/marieboishus/4-diplomacie-avec-entretien-1/s-vMb7BW6DHa9?si=7ebe834af57e4379acf5dc49c46994a2&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://soundcloud.com/marieboishus/4-diplomacie-sans-entretien?si=baa4843f57e544d3960dea6b228ecd83&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,5:58,,45:30,Athis Mons,capsule,Oui
Appareils diplomatiques et jeune Bergeronnette des ruisseaux,https://soundcloud.com/marieboishus/4-diplomatie-sans-extrait-1?si=10c1379a31f94153a1588d8a78dacffb&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://soundcloud.com/marieboishus/4-diplomacie-sans-entretien?si=26a1731e63304b0faa0174fa98c7a38c&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,2:08,,45:30,Athis Mons,capsule,
Grand débroussaillage et bergeronnettes cachées,https://soundcloud.com/marieboishus/5-bergeronnettes-cache-es-6/s-6U3YQFe0VZX?si=31938c10a79a470494280eedb1cc9c1b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://soundcloud.com/marieboishus/5-bergeronnettes-cache-es-avec/s-xTBoYKjYeGQ?si=f7bcd6eaa7ea4552a5eeaa15750d86ab&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,2:45,,51:40,Athis Mons,capsule,Oui
Grand débroussaillage et bergeronnettes cachées,https://soundcloud.com/marieboishus/5-bergeronnettes-cache-es-5?si=6149f3e106e44601a1cc1d18f68c7944&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://soundcloud.com/marieboishus/5-bergeronnettes-cache-es-5?si=070d3f2225854a7eb68c38c4f84bb1c7&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,1:32,,51:50,Athis Mons,capsule,
Stabilisation des trouvailles et du vivant et envie de partager,https://soundcloud.com/marieboishus/6-stabilisation-3?si=5343050743d847519c19ff15a40d8fb8&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://soundcloud.com/marieboishus/6-stabilisation-3?si=6c1acc556ddd4fe8bb3d7003119c3018&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,2:25,,55:12,Athis Mons,capsule,
Les prédateurs,https://soundcloud.com/marieboishus/8-pre-dateurs-3?si=94cc0ac888ba424e98eec7c388f9c751&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://soundcloud.com/marieboishus/8-pre-dateurs-3?si=535a766c124a4eccb63e8bb73536aca8&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,0:31,,02:15,jardins,capsule,
